gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G76410	ATL8	17	82	0	3	49	46
AT1G76420	NAC031	2	3	3	11	2	3
AT1G76430	PHT1-9	0	0	0	0	1	2
AT1G76440	AT1G76440	46	133	60	277	52	59
AT1G76450	PPD3	1530	4036	717	2858	1514	1588
AT1G76460	AT1G76460	158	677	302	1347	288	296
AT1G76470	AT1G76470	1	1	11	35	7	5
AT1G76480	AT1G76480	0	1	0	0	1	0
AT1G76490	HMG1	1530	5914	6727	28703	2907	2952
AT1G76500	AHL29	0	0	0	3	0	0
AT1G76510	ARID5	90	387	35	172	215	223
AT1G76520	AT1G76520	281	1259	35	120	439	526
AT1G76530	AT1G76530	9	65	2	4	11	9
AT1G76540	CDKB2-1	83	178	32	157	224	209
AT1G76550	PFP-ALPHA2	132	507	33	125	316	346
AT1G76560	CP12-3	36	194	19	73	56	96
AT1G76570	AT1G76570	84	344	101	502	127	143
AT1G76580	SPL16	126.001	660.183	131.975	532.996	346.233	283.973
AT1G76590	AT1G76590	184	623	345	1494	266	308
AT1G76600	AT1G76600	193	596	9	51	283	262
AT1G76610	AT1G76610	8	18	0	2	11	11
AT1G76620	AT1G76620	121	247	52	199	123	115
AT1G76630	SKI3	202	747	203	711	399	392
AT1G76640	CML39	0	0	0	0	0	2
AT1G76650	CML38	337	437	2	8	194	211
AT1G76660	AT1G76660	174	670	106	495	330	332
AT1G76670	UDP-GALT2	594	2491	489	2008	1111	1165
AT1G76680	OPR1	451.334	1685.684	59	174.946	817.364	869.648
AT1G76690	OPR2	42.666	176.317	4	15.054	72.635	87.352
AT1G76700	ATJ10	127	403	62	286	229	201
AT1G76705	AT1G76705	11	23.554	0	5	8	6.562
AT1G76710	ASHH1	97	278	63	298	155	167
AT1G76720	AT1G76720	61.802	335.698	37.954	133.936	124.113	156.566
AT1G76728	AT1G76728	0	0	0	0	0	0
AT1G76730	COG0212	446	2114	318	1344	725	805
AT1G76740	AT1G76740	18	59	3	17	66	78
AT1G76750	EC1.1	0	0	1	0	0	0
AT1G76760	ATY1	7	29	16	57	18	12
AT1G76770	AT1G76770	0	0	1	6	3	2
AT1G76780	AT1G76780	6	74	7	60	59	61
AT1G76790	AT1G76790	169	338	8	29	159	183
AT1G76800	AT1G76800	34	226	27	188	112	132
AT1G76810	AT1G76810	669.679	3700.594	2715.999	11900.073	1898.062	1947.169
AT1G76820	AT1G76820	48.519	231.709	128.048	520.992	92.825	96.265
AT1G76830	AT1G76830	0	0	0	0	0	0
AT1G76840	AT1G76840	0	0	0	0	0	0
AT1G76850	SEC5A	538	2404	213	865	1055	1156
AT1G76860	LSM3B	418	602	470	2246	263	304
AT1G76870	AT1G76870	28	100	9	36	45	40
AT1G76878	AT1G76878	154.221	854.506	46.243	0	360.07	381.399
AT1G76880	AT1G76880	159.779	666.494	603.757	3304	294.93	245.601
AT1G76890	GT-2	175.357	756.615	16.55	66.685	313.503	239.213
AT1G76892	AT1G76892	164.643	836.385	28.45	147.315	282.497	342.787
AT1G76900	TULP1	355	1349	86	355	505	574
AT1G76910	AT1G76910	0	0	0	0	0	0
AT1G76911	AT1G76911	0	0	0	0	0	0
AT1G76920	SKIP15	116	584	367	1400	251	279
AT1G76930	ATEXT4	251	1134	2163	9966	1531	1328
AT1G76940	AT1G76940	113	411	255	1178	164	226
AT1G76950	PRAF1	132	547	153	656	313	339
AT1G76952	IDL5	0	5	0	0	2	3
AT1G76954	AT1G76954	0	0	0	0	0	0
AT1G76955	AT1G76955	76	331	3	5	68	63
AT1G76960	AT1G76960	323	1513	42	157	262	264
AT1G76965	AT1G76965	0	0	0	4	0	0
AT1G76970	AT1G76970	64	276	6	42	109	115
AT1G76980	AT1G76980	34	94	3	21	42	49
AT1G76990	ACR3	1006	3986	1075	4962.001	1615	1670.999
AT1G76994	AT1G76994	2	1	0	2	0	0
